Temperature,Humidity,Timestamp
27.1,55.0,1679500040.5851448
27.1,55.0,1679500042.610332
27.1,55.0,1679500044.6342797
27.1,55.0,1679500046.659936
27.1,55.0,1679500048.6843507
27.1,55.0,1679500050.7097566
27.1,55.0,1679500052.7343173
27.1,55.0,1679500054.759707
27.1,55.0,1679500056.783842
27.1,55.0,1679500058.8083854
27.1,55.0,1679500060.8342605
27.1,55.0,1679500062.8589926
27.1,55.0,1679500064.8839824
27.1,55.0,1679500066.9089787
27.1,55.0,1679500068.9338121
27.1,55.0,1679500070.9595652
27.1,55.0,1679500072.9837039
27.1,55.0,1679500075.009458
27.1,55.0,1679500077.0342112
27.1,55.0,1679500079.0591493
27.1,55.0,1679500081.0834267
27.1,55.0,1679500083.108947
27.1,55.0,1679500085.1337016
27.1,55.0,1679500087.159456
27.1,55.0,1679500089.1833344
27.1,55.0,1679500091.2089262
27.1,55.0,1679500093.234802
27.1,55.0,1679500095.258383
27.1,55.0,1679500097.284768
27.1,55.0,1679500099.3087347
27.1,55.0,1679500101.3345718
27.1,55.0,1679500103.3584363
27.1,55.0,1679500105.384323
27.1,55.0,1679500107.4097931
27.1,55.0,1679500109.4347782
27.1,55.0,1679500111.4594083
27.1,55.0,1679500113.483715
27.1,55.0,1679500115.509001
27.1,55.0,1679500117.5337539
27.1,55.0,1679500119.5609756
27.1,55.0,1679500121.5837815
27.1,55.0,1679500123.608564
27.1,55.0,1679500125.634342
27.1,55.0,1679500127.658532
27.1,55.0,1679500129.6850674
27.1,55.0,1679500131.7091541
27.1,55.0,1679500133.733473
27.1,55.0,1679500135.7601252
27.1,55.0,1679500137.7844486
27.1,55.0,1679500139.8087058
27.1,55.0,1679500141.8334353
27.1,55.0,1679500143.8586268
27.1,55.0,1679500145.883392
27.1,55.0,1679500147.9083872
27.1,55.0,1679500149.9335756
27.1,55.0,1679500151.9583542
27.1,55.0,1679500153.9836173
27.1,55.0,1679500156.0083177
27.1,55.0,1679500158.0333204
27.1,55.0,1679500160.058826
27.1,55.0,1679500162.0852542
27.1,55.0,1679500164.1082284
27.1,55.0,1679500166.1332486
27.1,55.0,1679500168.1582358
27.1,56.0,1679500170.183892
27.1,56.0,1679500172.2081268
27.1,56.0,1679500174.233927
27.1,56.0,1679500176.2598166
27.6,56.0,1679500178.2830381
27.6,57.0,1679500180.308907
28.0,56.0,1679500182.3334067
28.0,55.0,1679500184.3586037
28.0,55.0,1679500186.3822362
28.0,55.0,1679500188.407787
28.0,55.0,1679500190.432451
28.0,54.0,1679500192.457691
28.5,54.0,1679500194.4838789
28.5,53.0,1679500196.5077803
28.5,53.0,1679500198.5325098
28.5,53.0,1679500200.5570111
28.5,53.0,1679500202.581734
28.5,53.0,1679500204.6091588
28.5,53.0,1679500206.6326952
28.5,52.0,1679500208.6576881
28.5,52.0,1679500210.6826763
28.5,52.0,1679500212.7067971
28.5,52.0,1679500214.7326462
28.6,52.0,1679500216.7592669
28.9,53.0,1679500218.7836092
28.9,53.0,1679500220.808655
29.3,53.0,1679500222.8326137
29.3,52.0,1679500224.8588676
29.3,52.0,1679500226.8827093
29.3,52.0,1679500228.9082742
29.3,51.0,1679500230.9333642
29.3,51.0,1679500232.9584076
29.8,51.0,1679500234.9820747
29.8,51.0,1679500237.0073495
29.8,50.0,1679500239.0338821
29.8,50.0,1679500241.058132
29.8,50.0,1679500243.0821686
29.8,50.0,1679500245.107748
29.8,50.0,1679500247.1323066
29.8,50.0,1679500249.1578007
29.8,49.0,1679500251.182667
29.8,49.0,1679500253.208401
29.8,49.0,1679500255.233133
29.8,49.0,1679500257.2581322
29.8,49.0,1679500259.2821984
29.8,49.0,1679500261.3075283
29.8,49.0,1679500263.3330717
29.8,49.0,1679500265.3575828
29.3,49.0,1679500267.3819468
29.3,49.0,1679500269.4083922
29.3,49.0,1679500271.432113
29.3,49.0,1679500273.457632
29.3,49.0,1679500275.4814777
29.3,49.0,1679500277.507733
29.3,49.0,1679500279.5325146
29.3,49.0,1679500281.5574496
29.3,50.0,1679500283.5825412
29.3,50.0,1679500285.607165
29.3,50.0,1679500287.6338837
29.3,50.0,1679500289.65799
29.3,50.0,1679500291.6828465
29.3,50.0,1679500293.707018
29.3,50.0,1679500295.7318244
29.3,50.0,1679500297.7568183
29.3,50.0,1679500299.7827842
29.3,50.0,1679500301.8074768
29.3,50.0,1679500303.8317428
29.0,50.0,1679500305.8571098
28.9,50.0,1679500307.8817065
28.9,50.0,1679500309.9066994
28.9,50.0,1679500311.9317057
28.9,50.0,1679500313.956675
28.9,50.0,1679500315.9819567
28.9,50.0,1679500318.0063336
28.9,50.0,1679500320.0329857
28.9,50.0,1679500322.0566173
28.9,50.0,1679500324.0816085
28.9,50.0,1679500326.106466
28.9,50.0,1679500328.1305943
28.9,50.0,1679500330.1555676
28.9,51.0,1679500332.1812015
28.9,51.0,1679500334.2072895
28.9,51.0,1679500336.2314017
28.9,51.0,1679500338.256055
28.9,51.0,1679500340.2813919
28.9,51.0,1679500342.3063216
28.9,51.0,1679500344.3306363
28.9,51.0,1679500346.3560762
28.9,51.0,1679500348.38087
28.9,51.0,1679500350.406133
28.9,51.0,1679500352.4302135
28.5,51.0,1679500354.45627
28.5,51.0,1679500356.4812546
28.5,51.0,1679500358.5068076
28.5,51.0,1679500360.5321286
28.5,51.0,1679500362.5562036
28.5,51.0,1679500364.5811598
28.5,51.0,1679500366.6053023
28.5,51.0,1679500368.6311622
28.5,51.0,1679500370.6561549
28.5,51.0,1679500372.6811392
28.5,51.0,1679500374.7061014
28.5,51.0,1679500376.7321029
28.5,51.0,1679500378.755823
28.5,51.0,1679500380.7820797
28.5,51.0,1679500382.80595
28.5,51.0,1679500384.8316343
28.5,51.0,1679500386.8556914
28.5,51.0,1679500388.8799748
28.5,51.0,1679500390.9057271
28.5,51.0,1679500392.930643
28.5,51.0,1679500394.9560359
28.5,51.0,1679500396.9805784
28.5,51.0,1679500399.0056274
28.5,51.0,1679500401.0306404
28.5,51.0,1679500403.0547302
28.5,51.0,1679500405.0802546
28.5,51.0,1679500407.1056027
28.5,51.0,1679500409.1302714
28.5,51.0,1679500411.1555488
28.5,51.0,1679500413.180925
28.5,51.0,1679500415.2062528
28.2,51.0,1679500417.2308693
28.1,52.0,1679500419.2549381
28.0,52.0,1679500421.2805018
28.0,52.0,1679500423.3058908
28.0,52.0,1679500425.33033
28.0,52.0,1679500427.3552356
28.0,52.0,1679500429.3795023
28.0,52.0,1679500431.4054348
28.0,52.0,1679500433.4308224
